datetime,time,btot,bx,by,bz,density,speed,dst,kp
2023-02-16 12:30:00+00:00,738567.520833,18.7,2.42,10.0,-15.56,12.0,468.0,29.0,6.6
2023-02-16 12:31:00+00:00,738567.521528,18.77,2.94,9.94,-15.65,12.0,468.0,29.0,6.6
2023-02-16 12:32:00+00:00,738567.522222,18.91,2.46,9.53,-16.12,13.0,465.0,29.0,6.6
2023-02-16 12:33:00+00:00,738567.522917,19.17,2.67,9.41,-16.48,13.0,465.0,29.0,6.6
2023-02-16 12:34:00+00:00,738567.523611,19.28,2.97,9.26,-16.63,13.0,465.0,29.0,6.6
2023-02-16 12:35:00+00:00,738567.524306,19.38,2.98,9.36,-16.7,13.0,462.0,29.0,6.6
2023-02-16 12:36:00+00:00,738567.525,19.51,3.45,9.51,-16.69,13.0,464.0,29.0,6.6
2023-02-16 12:37:00+00:00,738567.525694,19.68,2.86,9.79,-16.84,13.0,465.0,29.0,6.6
2023-02-16 12:38:00+00:00,738567.526389,19.82,2.53,10.13,-16.82,13.0,462.0,29.0,6.6
2023-02-16 12:39:00+00:00,738567.527083,19.83,2.4,10.62,-16.59,13.0,465.0,29.0,6.6
2023-02-16 12:40:00+00:00,738567.527778,19.9,2.13,10.78,-16.59,13.0,464.0,29.0,6.6
2023-02-16 12:41:00+00:00,738567.528472,20.06,1.81,10.87,-16.77,13.0,461.0,29.0,6.6
2023-02-16 12:42:00+00:00,738567.529167,20.4,3.34,11.56,-16.46,13.0,462.0,29.0,6.6
2023-02-16 12:43:00+00:00,738567.529861,20.33,8.11,12.52,-13.75,13.0,473.0,29.0,6.6
2023-02-16 12:44:00+00:00,738567.530556,20.13,6.84,13.04,-13.71,13.0,471.0,29.0,6.6
2023-02-16 12:45:00+00:00,738567.53125,20.33,6.59,13.07,-14.17,12.0,471.0,29.0,6.6
2023-02-16 12:46:00+00:00,738567.531944,20.11,6.84,13.16,-13.57,13.0,472.0,29.0,6.6
2023-02-16 12:47:00+00:00,738567.532639,20.25,7.45,12.88,-13.73,12.0,473.0,29.0,6.6
2023-02-16 12:48:00+00:00,738567.533333,20.32,7.44,13.21,-13.51,12.0,474.0,29.0,6.6
2023-02-16 12:49:00+00:00,738567.534028,20.56,6.95,14.2,-13.13,12.0,473.0,29.0,6.6
2023-02-16 12:50:00+00:00,738567.534722,20.48,6.96,14.83,-12.22,13.0,473.0,29.0,6.6
2023-02-16 12:51:00+00:00,738567.535417,20.3,6.04,15.0,-12.25,13.0,470.0,29.0,6.6
2023-02-16 12:52:00+00:00,738567.536111,20.35,5.66,15.0,-12.53,13.0,469.0,29.0,6.6
2023-02-16 12:53:00+00:00,738567.536806,20.27,5.79,15.19,-12.12,13.0,473.0,29.0,6.6
2023-02-16 12:54:00+00:00,738567.5375,20.55,5.65,15.26,-12.59,12.0,469.0,29.0,6.6
2023-02-16 12:55:00+00:00,738567.538194,20.5,5.92,15.31,-12.28,12.0,470.0,29.0,6.6
2023-02-16 12:56:00+00:00,738567.538889,20.4,5.79,15.5,-11.97,12.0,469.0,29.0,6.6
2023-02-16 12:57:00+00:00,738567.539583,20.37,5.63,15.56,-11.86,12.0,468.0,29.0,6.6
2023-02-16 12:58:00+00:00,738567.540278,20.23,4.75,15.23,-12.46,13.0,465.0,29.0,6.6
2023-02-16 12:59:00+00:00,738567.540972,20.2,4.83,15.57,-11.93,13.0,464.0,29.0,6.6
2023-02-16 13:00:00+00:00,738567.541667,20.24,4.11,17.2,-9.79,12.0,475.0,29.0,6.6
2023-02-16 13:01:00+00:00,738567.542361,20.22,4.37,17.33,-9.48,13.0,476.0,29.0,6.58
2023-02-16 13:02:00+00:00,738567.543056,20.16,4.73,17.33,-9.14,12.0,479.0,28.0,6.55
2023-02-16 13:03:00+00:00,738567.54375,20.16,4.48,17.8,-8.32,12.0,480.0,28.0,6.53
2023-02-16 13:04:00+00:00,738567.544444,20.06,4.92,17.81,-7.96,12.0,480.0,27.0,6.51
2023-02-16 13:05:00+00:00,738567.545139,19.64,4.04,14.57,-12.2,13.0,464.0,27.0,6.48
2023-02-16 13:06:00+00:00,738567.545833,19.89,3.77,16.43,-10.42,13.0,464.0,27.0,6.46
2023-02-16 13:07:00+00:00,738567.546528,20.1,4.31,15.71,-11.78,12.0,463.0,26.0,6.44
2023-02-16 13:08:00+00:00,738567.547222,20.02,4.41,16.12,-10.97,12.0,467.0,26.0,6.41
2023-02-16 13:09:00+00:00,738567.547917,19.98,4.99,16.4,-10.12,12.0,482.0,25.0,6.39
