time,Bx,By,Bz,F
18759.0,21015.41,1705.61,43990.96,48782.795375642425
18759.000694444443,21015.6,1705.35,43991.06,48782.95831441652
18759.00138888889,21015.36,1705.37,43991.05,48782.846604815924
18759.002083333333,21015.85,1705.28,43991.06,48783.06356743598
18759.00277777778,21015.69,1705.1,43991.13,48783.05147141781
18759.003472222223,21015.95,1704.92,43991.15,48783.17522395811
18759.004166666666,21016.08,1704.84,43991.18,48783.25548571354
18759.004861111112,21015.79,1704.87,43991.16,48783.11356593181
18759.005555555555,21015.93,1704.81,43991.17,48783.180799020265
18759.00625,21015.67,1704.72,43991.19,48783.083681163494
18759.006944444445,21015.65,1704.84,43991.16,48783.05220559391
18759.00763888889,21015.68,1704.86,43991.15,48783.05681078729
18759.008333333335,21015.56,1704.79,43991.19,48783.03873964598
18759.009027777778,21015.53,1705.07,43991.15,48782.99953065925
18759.00972222222,21015.41,1704.7,43991.24,48783.016063950985
18759.010416666668,21015.51,1704.94,43991.2,48783.0314597576
18759.01111111111,21015.45,1705.11,43991.14,48782.95744739345
18759.011805555554,21015.48,1705.29,43991.1,48782.94059222445
18759.0125,21015.95,1705.57,43991.06,48783.11678594347
18759.013194444444,21016.23,1706.3,43990.92,48783.136692399145
18759.01388888889,21016.45,1706.83,43990.8,48783.14180012805
18759.014583333334,21016.85,1707.05,43990.8,48783.32182483067
18759.015277777777,21017.11,1707.14,43990.81,48783.446005666716
18759.015972222223,21017.48,1706.75,43990.91,48783.68194120858
18759.016666666666,21017.78,1706.78,43990.92,48783.82125810974
18759.01736111111,21017.54,1707.05,43990.87,48783.68221763298
18759.018055555556,21017.74,1707.31,43990.8,48783.71436026269
18759.01875,21017.91,1707.92,43990.68,48783.70074478668
18759.019444444446,21017.76,1708.19,43990.61,48783.58245010098
18759.02013888889,21018.34,1708.56,43990.55,48783.79119063729
18759.020833333332,21018.29,1707.96,43990.7,48783.88390007196
18759.02152777778,21018.7,1708.68,43990.59,48783.986569165296
18759.022222222222,21020.18,1708.78,43990.56,48784.6006997536
18759.022916666665,21018.83,1708.6,43990.72,48784.15700457783
18759.02361111111,21020.21,1708.51,43990.55,48784.595152227106
18759.024305555555,21020.77,1708.5,43990.71,48784.980372518345
18759.025,21018.99,1710.03,43990.19,48783.79812455259
18759.025694444445,21021.56,1708.98,43990.5,48785.14822898461
18759.026388888888,21020.08,1710.54,43990.18,48784.276634284535
18759.027083333334,21020.92,1709.94,43990.23,48784.66262979483
18759.027777777777,21020.97,1710.26,43990.24,48784.70440892412
18759.02847222222,21021.81,1709.85,43990.29,48785.097078746294
18759.029166666667,21021.34,1709.95,43990.34,48784.94314554133
18759.02986111111,21021.88,1709.55,43990.35,48785.17083150781
18759.030555555557,21021.91,1709.31,43990.46,48785.27453787464
18759.03125,21021.48,1709.32,43990.35,48784.99041073289
18759.031944444443,21022.01,1709.14,43990.37,48785.230518227545
18759.03263888889,21021.14,1709.38,43990.31,48784.80993895641
18759.033333333333,21021.27,1709.15,43990.29,48784.839862599736
18759.03402777778,21020.98,1709.13,43990.3,48784.7232195418
18759.034722222223,21020.87,1709.19,43990.26,48784.64185458985
18759.035416666666,21020.63,1708.99,43990.32,48784.58553805085
18759.036111111112,21020.18,1708.62,43990.42,48784.46885344966
18759.036805555555,21020.72,1709.23,43990.23,48784.55157080159
18759.0375,21020.44,1708.67,43990.42,48784.58263364461
18759.038194444445,21020.34,1708.66,43990.41,48784.53017790886
18759.03888888889,21020.82,1708.35,43990.5,48784.807301504225
18759.039583333335,21020.19,1708.27,43990.49,48784.524026263694
18759.040277777778,21020.68,1708.15,43990.51,48784.74899130875
18759.04097222222,21020.69,1708.56,43990.39,48784.65945050555
18759.041666666668,21021.05,1707.81,43990.55,48784.93258580051
18759.04236111111,21019.92,1708.09,43990.44,48784.35630043816
18759.043055555554,21021.56,1706.95,43990.65,48785.212416864604
18759.04375,21020.53,1707.56,43990.59,48784.73584209101
18759.044444444444,21020.99,1707.2,43990.47,48784.81324388769
18759.04513888889,21021.31,1706.69,43990.68,48785.12264753057
18759.045833333334,21021.27,1706.97,43990.53,48784.97994951622
18759.046527777777,21021.61,1707.02,43990.5,48785.10115314408
18759.047222222223,21021.73,1706.4,43990.58,48785.203308885575
18759.047916666666,21021.73,1706.6,43990.51,48785.147184496636
